Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-06-15 00:00:00-04:00,35.65774366314618,36.030888577906495,35.49690584558197,35.81214904785156,1067400,0.0,0.0,0.0
2001-06-18 00:00:00-04:00,35.90862298259221,35.97295953324934,35.58373260498047,35.58373260498047,282600,0.0,0.0,0.0
2001-06-19 00:00:00-04:00,36.12414493066725,36.13379479906987,35.53547841622434,35.683448791503906,1777600,0.0,0.0,0.0
2001-06-20 00:00:00-04:00,35.62556442887652,36.07591065515845,35.62556442887652,36.0598258972168,476000,0.0,0.0,0.0
2001-06-21 00:00:00-04:00,36.027647845512995,36.494076233266014,35.947228988714976,36.34932327270508,240400,0.0,0.0,0.0
2001-06-22 00:00:00-04:00,36.3171689050355,36.3171689050355,35.94724154372524,36.11772918701172,180600,0.0,0.0,0.0
2001-06-25 00:00:00-04:00,36.18221689075743,36.24026332800713,35.724296363745665,35.885536193847656,30400,0.14,0.0,0.0
2001-06-26 00:00:00-04:00,35.50501217284021,35.972609183677285,35.4921126904387,35.79201889038086,146600,0.0,0.0,0.0
2001-06-27 00:00:00-04:00,35.859741079100296,36.01453241515356,35.62433227966854,35.79524612426758,114000,0.0,0.0,0.0
2001-06-28 00:00:00-04:00,36.053222624286555,36.56273855579475,36.053222624286555,36.23381042480469,357400,0.0,0.0,0.0
2001-06-29 00:00:00-04:00,36.13384611930377,36.64013907633231,36.08869916468908,36.44020080566406,215000,0.0,0.0,0.0
2001-07-02 00:00:00-04:00,36.31120052947946,36.743324449779266,36.31120052947946,36.53693771362305,290000,0.0,0.0,0.0
2001-07-03 00:00:00-04:00,36.48856758576604,36.553062522261584,36.3853742111787,36.5175895690918,56800,0.0,0.0,0.0
2001-07-05 00:00:00-04:00,36.40472080551094,36.42084576917919,36.10158920288086,36.10158920288086,627600,0.0,0.0,0.0
2001-07-06 00:00:00-04:00,35.79523538012023,35.82103433843954,35.15027618408203,35.15027618408203,777000,0.0,0.0,0.0
2001-07-09 00:00:00-04:00,35.28894629121981,35.53725452576072,35.247024824701676,35.376014709472656,850000,0.0,0.0,0.0
