Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.8670704817243906,0.8729554850337148,0.8670704817243906,0.8709938526153564,43225,0.0,0.0
1962-01-03 00:00:00-05:00,0.8729553082935223,0.8808021545410156,0.8729553082935223,0.8808021545410156,88576,0.0,0.0
1962-01-04 00:00:00-05:00,0.8827637431848457,0.8945340650048276,0.8827637431848457,0.8866872191429138,79364,0.0,0.0
1962-01-05 00:00:00-05:00,0.8866874349219523,0.8945342826934288,0.88276395800909,0.8847257494926453,45351,0.0,0.0
1962-01-08 00:00:00-05:00,0.884724904449451,0.894533428281643,0.8749163275901854,0.888648271560669,96371,0.0,0.0
1962-01-09 00:00:00-05:00,0.8886489040948367,0.8925723800529047,0.8827637431848457,0.8866872191429138,66609,0.0,0.0
1962-01-10 00:00:00-05:00,0.8866871150726175,0.8866871150726175,0.8670701618016047,0.8690318465232849,41099,0.0,0.0
1962-01-11 00:00:00-05:00,0.8690318465232849,0.8709935312449653,0.8592233698877786,0.8690318465232849,49603,0.0,0.0
1962-01-12 00:00:00-05:00,0.8690314449075228,0.8749164433257549,0.8592229728049214,0.8611846566200256,31887,0.0,0.0
1962-01-15 00:00:00-05:00,0.8611850526992445,0.8611850526992445,0.8396063087002058,0.8454914689064026,38973,0.0,0.0
1962-01-16 00:00:00-05:00,0.8454916223794872,0.8454916223794872,0.8337214589118958,0.8337214589118958,27636,0.0,0.0
1962-01-17 00:00:00-05:00,0.8337220765006376,0.8356837630271912,0.8337220765006376,0.8356837630271912,41808,0.0,0.0
1962-01-18 00:00:00-05:00,0.8356837630271912,0.8356837630271912,0.8337220765006376,0.8356837630271912,33305,0.0,0.0
1962-01-19 00:00:00-05:00,0.8356837630271912,0.8396070830531445,0.8356837630271912,0.8356837630271912,40391,0.0,0.0
1962-01-22 00:00:00-05:00,0.8356831648805779,0.8356831648805779,0.8258746862411499,0.8258746862411499,53854,0.0,0.0
1962-01-23 00:00:00-05:00,0.8258746862411499,0.8278363183364965,0.8239130011186875,0.8258746862411499,46060,0.0,0.0
1962-01-24 00:00:00-05:00,0.819988888492395,0.819988888492395,0.8101804174645292,0.8180272579193115,51728,0.0,0.0
1962-01-25 00:00:00-05:00,0.8180277711231219,0.819989402926869,0.8160660862922668,0.8160660862922668,43934,0.0,0.0
1962-01-26 00:00:00-05:00,0.8160661663464458,0.8160661663464458,0.8082193732261658,0.8082193732261658,58106,0.0,0.0
1962-01-29 00:00:00-05:00,0.8082194491146456,0.8141045577642214,0.8042959726454376,0.8101810812950134,34013,0.0,0.0
1962-01-30 00:00:00-05:00,0.8121426140659918,0.8219510912895203,0.8121426140659918,0.8219510912895203,36848,0.0,0.0
1962-01-31 00:00:00-05:00,0.8219511893900754,0.8356831439853085,0.8180278722703642,0.8337214589118958,64483,0.0,0.0
1962-02-01 00:00:00-05:00,0.8337214589118958,0.8415682522326615,0.82587466559113,0.8337214589118958,70152,0.0,0.0
1962-02-02 00:00:00-05:00,0.8337220765006376,0.8396070830531445,0.8297985973932229,0.8356837630271912,38973,0.0,0.0
1962-02-05 00:00:00-05:00,0.8356831463089056,0.8435299396514893,0.8337214612300384,0.8435299396514893,53146,0.0,0.0
1962-02-06 00:00:00-05:00,0.8490231037139893,0.8490231037139893,0.8450648722422935,0.8490231037139893,41099,0.066602,0.0
1962-02-07 00:00:00-05:00,0.8490229463538985,0.858918309211731,0.8450647156158313,0.858918309211731,60940,0.0,0.0
1962-02-08 00:00:00-05:00,0.858918309211731,0.8628763794592965,0.8549600784736637,0.858918309211731,75821,0.0,0.0
1962-02-09 00:00:00-05:00,0.858918377826195,0.8608974398564915,0.8569393157958984,0.8569393157958984,37556,0.0,0.0
1962-02-12 00:00:00-05:00,0.8569393157958984,0.858918377826195,0.8549601467719256,0.8569393157958984,21967,0.0,0.0
1962-02-13 00:00:00-05:00,0.8569392168225305,0.8569392168225305,0.8510019779205322,0.8510019779205322,51020,0.0,0.0
