Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09820699691772461,0.098633960164928,0.09820699691772461,0.09820699691772461,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09351047918435525,0.09351047918435525,0.09308351576328278,0.09308351576328278,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.08667835821891023,0.08667835821891023,0.086251400411129,0.086251400411129,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.0883861556649208,0.08881311895532354,0.0883861556649208,0.0883861556649208,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09094870090484619,0.09137565855527548,0.09094870090484619,0.09094870090484619,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09649919718503952,0.09692616061742858,0.09649919718503952,0.09649919718503952,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10119570791721344,0.10162343499916728,0.10119570791721344,0.10119570791721344,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10546605288982391,0.10589301598503688,0.10546605288982391,0.10546605288982391,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.111016646027565,0.11144360953469892,0.111016646027565,0.111016646027565,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12126438319683075,0.12169134641344498,0.12126438319683075,0.12126438319683075,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12297223508358003,0.12339919833638006,0.12297223508358003,0.12297223508358002,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12041052830664684,0.12041052830664684,0.11998357623815536,0.11998357623815536,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11699479099881809,0.11699479099881809,0.11656782776117323,0.11656782776117325,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.117848701775074,0.11870262821922613,0.117848701775074,0.117848701775074,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11571394298989555,0.11571394298989555,0.11528699100017549,0.11528699100017548,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11058964619818877,0.11058964619818877,0.11016268283128738,0.11016268283128738,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10589301598503688,0.10589301598503688,0.10546605288982391,0.10546605288982391,55686400,0.0,0.0
1981-01-08 00:00:00-05:00,0.1037582569654227,0.1037582569654227,0.1033313050866127,0.1033313050866127,39827200,0.0,0.0
1981-01-09 00:00:00-05:00,0.10888177156448364,0.10930873480367495,0.10888177156448364,0.10888177156448364,21504000,0.0,0.0
