Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-27 00:00:00-05:00,12.45960235595703,12.907789491063399,12.45960235595703,12.459602355957031,50000,0.0,0.0
1998-03-02 00:00:00-05:00,12.369965553283691,12.369965553283691,12.190690690192623,12.369965553283691,75000,0.0,0.0
1998-03-03 00:00:00-05:00,12.280330657958984,12.280330657958984,12.0114183077847,12.280330657958984,35000,0.0,0.0
1998-03-04 00:00:00-05:00,11.294317245483398,11.294317245483398,11.115042368570965,11.294317245483398,60000,0.0,0.0
1998-03-05 00:00:00-05:00,11.563230514526367,11.563230514526367,11.563230514526367,11.563230514526367,400,0.0,0.0
1998-03-06 00:00:00-05:00,11.563230514526367,11.742505406224451,11.563230514526367,11.563230514526367,3600,0.0,0.0
1998-03-09 00:00:00-05:00,11.563229883749653,11.832142206627552,11.383955001831055,11.383955001831055,3200,0.0,0.0
1998-03-10 00:00:00-05:00,11.383954062828652,12.10105353135329,11.383954062828652,11.65286636352539,56800,0.0,0.0
1998-03-11 00:00:00-05:00,11.65286636352539,11.832141230656552,11.563228929959811,11.65286636352539,10400,0.0,0.0
1998-03-12 00:00:00-05:00,11.652866683843481,11.742504119873047,11.563229247813917,11.742504119873047,3800,0.0,0.0
1998-03-13 00:00:00-05:00,11.832145690917969,11.832145690917969,11.832145690917969,11.832145690917969,1000,0.0,0.0
1998-03-16 00:00:00-05:00,11.832142852073492,11.832142852073492,11.563230514526367,11.563230514526367,7700,0.0,0.0
1998-03-17 00:00:00-05:00,11.563229883749653,11.563229883749653,11.294317560871754,11.383955001831055,28000,0.0,0.0
1998-03-18 00:00:00-05:00,11.383955622828285,11.563230514526367,11.294318176979242,11.563230514526367,45700,0.0,0.0
1998-03-19 00:00:00-05:00,11.563231057494226,12.459605558075173,11.47359360743613,12.280330657958984,383600,0.0,0.0
1998-03-20 00:00:00-05:00,12.36996774270501,12.728517532348633,12.36996774270501,12.728517532348633,275600,0.0,0.0
