Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.13041434281242,24.13041434281242,24.01036253016161,24.113264083862305,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.13040913161585,24.284761428833008,24.13040913161585,24.284761428833008,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.26761303929227,24.353364322116626,24.21616226959766,24.336214065551758,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.370518159001772,24.61062178618406,24.353367899917327,24.59347152709961,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,24.679220820797816,24.747821851571402,24.40481669770347,24.69637107849121,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,24.679216384887695,24.730667148719984,24.542014348001594,24.679216384887695,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,24.679216384887695,24.76496765794151,24.64491587566617,24.679216384887695,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,24.593464589102275,24.593464589102275,24.456262555132387,24.507713317871094,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.50770504203066,24.559155787395316,24.43910404821112,24.54200553894043,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.57632944083181,24.76498235349695,24.57632944083181,24.662080764770508,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,24.62777151790798,24.62777151790798,24.47341918945313,24.473419189453125,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.404822631331335,24.404822631331335,23.82171372798259,23.856014251708984,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,23.856005999338713,23.890306511199732,23.753104463755655,23.838855743408203,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.113255346310577,24.113255346310577,23.49584624782752,23.821701049804688,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,23.821700368413282,23.907451629638672,23.787399863923124,23.907451629638672,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,23.97606148764097,24.02751226336552,23.907460453341567,23.99321174621582,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.061812157965182,24.078962416096306,23.85600906039171,23.97606086730957,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,23.993207089645043,24.284761428833008,23.993207089645043,24.284761428833008,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,24.26761303929227,24.353364322116626,24.21616226959766,24.336214065551758,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,24.387656537350594,24.387656537350594,24.250454531514585,24.370506286621094,66200,0.0,0.0,0.0
