Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2000-05-26 00:00:00-04:00,32.45696632713792,32.59062576293945,32.30103031870281,32.59062576293945,74800,0.0,0.0,0.0
2000-05-30 00:00:00-04:00,33.05844807231905,33.793575286865234,33.05844807231905,33.793575286865234,57600,0.0,0.0,0.0
2000-05-31 00:00:00-04:00,33.904942188983284,34.350473623792524,33.904942188983284,33.91608047485352,36000,0.0,0.0,0.0
2000-06-01 00:00:00-04:00,34.612236277139864,34.68463516235352,34.612236277139864,34.68463516235352,7000,0.0,0.0,0.0
2000-06-02 00:00:00-04:00,36.25515901125394,36.48906326293945,36.25515901125394,36.48906326293945,29400,0.0,0.0,0.0
2000-06-05 00:00:00-04:00,36.39992653622347,36.75635176546434,36.31082022891325,36.35537338256836,48400,0.0,0.0,0.0
2000-06-06 00:00:00-04:00,36.9290039261568,37.35782813099981,36.600424340627725,36.71180725097656,151800,0.0,0.0,0.0
2000-06-07 00:00:00-04:00,36.48904012506658,36.7563591003418,36.15489140597256,36.7563591003418,131000,0.0,0.0,0.0
2000-06-08 00:00:00-04:00,37.15735182176963,37.15735182176963,36.667266845703125,36.667266845703125,91400,0.0,0.0,0.0
2000-06-09 00:00:00-04:00,37.02368639134649,37.31328201293945,37.0014098050701,37.31328201293945,41600,0.0,0.0,0.0
2000-06-12 00:00:00-04:00,37.42466791467178,37.42466791467178,36.17717898418272,36.20502471923828,85200,0.0,0.0,0.0
2000-06-13 00:00:00-04:00,36.11592124762831,36.667266845703125,35.776203252854934,36.667266845703125,168200,0.0,0.0,0.0
2000-06-14 00:00:00-04:00,36.96801006400978,36.96801006400978,36.48906326293945,36.48906326293945,43200,0.0,0.0,0.0
2000-06-15 00:00:00-04:00,36.26628083019722,36.533599853515625,35.91542461209181,36.533599853515625,26800,0.0,0.0,0.0
2000-06-16 00:00:00-04:00,36.68950921110695,36.7117857801483,36.33308410644531,36.33308410644531,30200,0.0,0.0,0.0
2000-06-19 00:00:00-04:00,36.533590344150674,37.24644088745117,36.36651599806461,37.24644088745117,59200,0.0,0.0,0.0
2000-06-20 00:00:00-04:00,37.30213086291997,37.54717322750171,37.15733310203076,37.49148178100586,47000,0.0,0.0,0.0
2000-06-21 00:00:00-04:00,37.17854267573794,37.75806432416071,37.17854267573794,37.69119644165039,66800,0.03,0.0,0.0
2000-06-22 00:00:00-04:00,37.80264780928449,37.80264780928449,36.554447174072266,36.554447174072266,139600,0.0,0.0,0.0
2000-06-23 00:00:00-04:00,36.91108003900855,36.91108003900855,36.019508057389984,36.309268951416016,235800,0.0,0.0,0.0
2000-06-26 00:00:00-04:00,36.45414136698059,36.75504684448242,36.28697165725736,36.75504684448242,93600,0.0,0.0,0.0
2000-06-27 00:00:00-04:00,36.81076668899733,37.133961431347,36.17552185058594,36.17552185058594,112800,0.0,0.0,0.0
2000-06-28 00:00:00-04:00,36.33154623783552,37.22311792465357,36.33154623783552,37.08938217163086,170600,0.0,0.0,0.0
2000-06-29 00:00:00-04:00,36.91109910902086,36.97796704218938,36.3984449547289,36.509891510009766,212200,0.0,0.0,0.0
2000-06-30 00:00:00-04:00,36.532156646567046,36.86092376708984,36.23125114642754,36.86092376708984,1171800,0.0,0.0,0.0
2000-07-03 00:00:00-04:00,36.77735064238683,37.3791618347168,36.73277203554757,37.3791618347168,15800,0.0,0.0,0.0
2000-07-05 00:00:00-04:00,37.16739479106356,37.17853943717782,36.82748308457857,36.95564651489258,138800,0.0,0.0,0.0
2000-07-06 00:00:00-04:00,36.966796507743005,37.39029312133789,36.62131242823138,37.39029312133789,154600,0.0,0.0,0.0
2000-07-07 00:00:00-04:00,37.395874722309024,37.76922051375511,37.395874722309024,37.62434005737305,71800,0.0,0.0,0.0
2000-07-10 00:00:00-04:00,37.60204290936736,38.00325024331437,37.60204290936736,37.86951446533203,44800,0.0,0.0,0.0
2000-07-11 00:00:00-04:00,37.80264661673173,38.01439493209668,37.6912001349607,37.82493591308594,253200,0.0,0.0,0.0
2000-07-12 00:00:00-04:00,38.02552010433168,38.5827522277832,37.98094153445556,38.5827522277832,45200,0.0,0.0,0.0
2000-07-13 00:00:00-04:00,38.61620703932534,38.70536422729492,38.51590520285957,38.70536422729492,102600,0.0,0.0,0.0
2000-07-14 00:00:00-04:00,38.9059697843668,38.9059697843668,38.4267498758226,38.738800048828125,54800,0.0,0.0,0.0
2000-07-17 00:00:00-04:00,38.77220342574864,38.93937302948138,38.67190166350898,38.87250518798828,46600,0.0,0.0,0.0
2000-07-18 00:00:00-04:00,38.61620558601833,38.61620558601833,38.20385360717773,38.20385360717773,235400,0.0,0.0,0.0
2000-07-19 00:00:00-04:00,38.08125921779461,38.08125921779461,37.53517150878906,37.53517150878906,35400,0.0,0.0,0.0
2000-07-20 00:00:00-04:00,37.89181865264322,38.1592903137207,37.89181865264322,38.1592903137207,150400,0.0,0.0,0.0
