Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.04445734620094299,0.045667743885674024,0.04445734620094299,0.04445734620094299,806400,0.0,0.0
1962-01-03 00:00:00-05:00,0.0437971420794248,0.0437971420794248,0.0428066502925386,0.04346686229109764,1574400,0.0,0.0
1962-01-04 00:00:00-05:00,0.0435770889875793,0.044127265056566285,0.0435770889875793,0.04379716143012047,844800,0.0,0.0
1962-01-05 00:00:00-05:00,0.04379712038782222,0.044347295941239484,0.04269659297334554,0.042806629091501236,1420800,0.0,0.0
1962-01-08 00:00:00-05:00,0.04247654083942071,0.04247654083942071,0.04154115027595585,0.04236650466918945,2035200,0.0,0.0
1962-01-09 00:00:00-05:00,0.04236649034685224,0.043356810506784124,0.04203638194775432,0.04313673824071884,960000,0.0,0.0
1962-01-10 00:00:00-05:00,0.043136737502799866,0.04396209412157776,0.04269659801556044,0.04335680976510048,1612800,0.0,0.0
1962-01-11 00:00:00-05:00,0.043356845274596684,0.04379716143012046,0.04313677283205552,0.04379716143012047,614400,0.0,0.0
1962-01-12 00:00:00-05:00,0.0437971420794248,0.0437971420794248,0.043026722637846175,0.04346686229109764,883200,0.0,0.0
1962-01-15 00:00:00-05:00,0.043356788912043025,0.043356788912043025,0.042916649636494775,0.04302668571472168,614400,0.0,0.0
1962-01-16 00:00:00-05:00,0.04291665755855334,0.04291665755855334,0.04220133980160701,0.042256440967321396,1113600,0.0,0.0
1962-01-17 00:00:00-05:00,0.0422564476247468,0.0422564476247468,0.04093601927161217,0.04093601927161217,1574400,0.0,0.0
1962-01-18 00:00:00-05:00,0.0409360203113071,0.04115609002996518,0.039945529010362454,0.040110666304826736,2649600,0.0,0.0
1962-01-19 00:00:00-05:00,0.040495670676783,0.04137612506747246,0.040495670676783,0.04137612506747246,1459200,0.0,0.0
1962-01-22 00:00:00-05:00,0.041376155715277946,0.041816300120257284,0.04093601382897883,0.04170626401901245,1075200,0.0,0.0
1962-01-23 00:00:00-05:00,0.04159624443205893,0.04159624443205893,0.040825825184583664,0.040825825184583664,768000,0.0,0.0
1962-01-24 00:00:00-05:00,0.04082583802989996,0.04093604296114664,0.03961544257350811,0.040385693311691284,2611200,0.0,0.0
1962-01-25 00:00:00-05:00,0.04038568142812422,0.0410460645441307,0.04005557298660278,0.04005557298660278,1574400,0.0,0.0
1962-01-26 00:00:00-05:00,0.040055545630221685,0.040055545630221685,0.03939533171676052,0.03961540386080742,1574400,0.0,0.0
1962-01-29 00:00:00-05:00,0.03961540386080742,0.039725439932830876,0.03950536778878397,0.03961540386080742,307200,0.0,0.0
1962-01-30 00:00:00-05:00,0.03961541765026982,0.03994552598124535,0.039450280368328094,0.039450280368328094,1574400,0.0,0.0
1962-01-31 00:00:00-05:00,0.03961541634456568,0.04104604944586754,0.03961541634456568,0.04104604944586754,1766400,0.0,0.0
1962-02-01 00:00:00-05:00,0.04137612506747246,0.0420363386672329,0.04137612506747246,0.04137612506747246,1420800,0.0,0.0
1962-02-02 00:00:00-05:00,0.041376175653227966,0.04181632027029991,0.04071579249464573,0.04181632027029991,1152000,0.0,0.0
1962-02-05 00:00:00-05:00,0.04181632027029991,0.04181632027029991,0.041486211807495954,0.04181632027029991,384000,0.0,0.0
1962-02-06 00:00:00-05:00,0.04181630149455509,0.04181630149455509,0.041266120970249176,0.041266120970249176,691200,0.0,0.0
1962-02-07 00:00:00-05:00,0.041266135110658846,0.04148620739579201,0.041266135110658846,0.04148620739579201,192000,0.0,0.0
1962-02-08 00:00:00-05:00,0.041486201443269,0.04181630982360414,0.041046056936155484,0.04159623757004738,768000,0.0,0.0
